Date,Open,High,Low,Close,Volume
2017-01-03,67.84,68.64,66.62,67.54,2064240
2017-01-04,67.7,70.21,67.67,70.04,2476458
2017-01-05,69.94,69.97,68.94,69.61,1989439
2017-01-06,69.93,69.93,69.12,69.17,1424625
2017-01-09,69.25,69.39,68.01,68.06,2534670
2017-01-10,68.57,70.94,68.27,70.47,2725437
2017-01-11,69.96,71.55,69.82,71.54,3085929
2017-01-12,71.54,71.74,69.87,71.06,1652552
2017-01-13,71.0,71.82,70.88,71.63,1466505
2017-01-17,71.5,72.61,71.47,71.69,1961276
2017-01-18,71.67,72.2,70.68,71.5,1763040
2017-01-19,72.0,72.61,71.63,72.01,1864441
2017-01-20,71.86,72.05,70.29,70.66,2079379
2017-01-23,70.44,70.46,69.53,70.07,1818570
2017-01-24,70.73,71.76,70.32,71.45,2558164
2017-01-25,72.18,73.48,71.9,73.37,1969960
2017-01-26,72.81,73.89,71.58,71.86,2068443
2017-01-27,72.02,72.5,70.57,70.99,2386096
2017-01-30,70.92,70.97,69.35,69.7,2316389
2017-01-31,69.56,70.12,69.04,70.06,2787714
2017-02-01,70.57,71.28,70.0,71.0,2033157
2017-02-02,73.83,74.1,72.56,73.51,5061784
2017-02-03,74.04,74.52,73.01,73.74,2064006
2017-02-06,73.68,73.99,72.95,73.73,1473401
2017-02-07,73.73,74.22,73.56,74.11,2314163
2017-02-08,73.94,74.07,73.44,73.94,1648938
2017-02-09,73.83,74.31,73.43,73.76,1893570
2017-02-10,73.97,74.63,73.48,74.32,1674515
2017-02-13,74.58,76.08,74.58,76.0,2303247
2017-02-14,75.68,76.41,75.58,75.96,1817607
2017-02-15,75.26,76.46,75.22,76.25,1320792
2017-02-16,76.08,76.31,74.83,75.22,1508095
2017-02-17,74.61,75.59,74.61,75.46,1479884
2017-02-21,75.53,76.61,75.42,75.84,1423790
2017-02-22,75.41,76.5,75.18,76.14,2306079
2017-02-23,76.05,77.04,75.79,75.98,2061160
2017-02-24,75.43,76.96,74.65,76.69,2683923
2017-02-27,76.5,77.46,76.16,77.2,1761129
2017-02-28,77.08,77.33,75.78,76.13,1939023
2017-03-01,77.13,78.12,76.68,76.77,2419249
2017-03-02,76.53,77.84,76.04,77.39,1918533
2017-03-03,77.27,77.61,76.66,77.18,1256898
2017-03-06,76.56,76.81,75.34,75.92,1555853
2017-03-07,76.28,76.28,75.32,75.97,1248456
2017-03-08,76.12,76.86,75.76,76.63,1106193
2017-03-09,76.59,76.77,75.96,76.29,1023690
2017-03-10,77.0,77.75,76.71,77.09,1359264
2017-03-13,78.86,80.44,78.57,80.2,4101463
2017-03-14,79.7,81.8,79.36,81.0,2752616
2017-03-15,81.04,82.76,81.04,82.29,2801496
2017-03-16,83.22,83.23,81.43,82.27,2178615
2017-03-17,82.48,82.48,80.76,81.85,2182065
2017-03-20,81.88,82.0,80.82,81.12,1657723
2017-03-21,81.5,81.74,78.02,78.16,2390151
2017-03-22,78.23,79.16,77.14,78.73,2964674
2017-03-23,78.51,79.04,78.02,78.6,1501118
2017-03-24,78.8,79.58,78.48,78.9,1580449
2017-03-27,78.16,79.53,77.4,79.45,1548013
2017-03-28,79.49,81.12,79.22,80.38,1264353
2017-03-29,80.58,81.01,80.0,80.49,780724
2017-03-30,80.42,81.05,80.09,81.0,1000232
2017-03-31,80.83,81.15,80.33,80.49,1737513
2017-04-03,80.73,80.82,76.82,78.25,2432892
2017-04-04,77.76,78.0,75.87,75.98,3037510
2017-04-05,76.64,77.8,75.07,75.09,2510821
2017-04-06,75.0,75.67,74.6,75.12,2094308
2017-04-07,75.07,75.34,74.1,75.14,1537637
2017-04-10,75.14,76.21,75.11,75.53,1099143
2017-04-11,75.5,75.85,74.11,74.91,1911823
2017-04-12,74.91,75.13,74.09,74.28,2812047
2017-04-13,74.25,74.78,73.74,73.75,1150896
2017-04-17,73.81,74.71,73.74,74.71,1349177
2017-04-18,74.2,74.53,73.46,74.35,1214475
2017-04-19,75.05,75.85,74.76,75.37,1440646
2017-04-20,76.11,78.11,76.11,77.9,2289422
2017-04-21,77.6,77.72,76.6,76.6,1532163
2017-04-24,77.86,79.74,77.78,79.25,2619181
