Date,Open,High,Low,Close,Volume
2017-01-03,57.23,58.52,56.0,58.31,1994181
2017-01-04,58.7,60.5,58.32,60.25,2106668
2017-01-05,60.13,60.34,59.78,60.15,1441288
2017-01-06,60.08,61.4,60.08,61.04,1264727
2017-01-09,60.85,62.1,60.85,61.97,1693060
2017-01-10,61.71,62.84,61.4,62.12,1761706
2017-01-11,62.09,62.73,61.03,61.68,1324495
2017-01-12,61.31,62.76,61.15,62.71,1756418
2017-01-13,62.7,63.07,62.5,62.65,933690
2017-01-17,62.5,63.23,61.42,63.08,970751
2017-01-18,63.35,63.44,62.7,62.87,1286415
2017-01-19,62.71,63.29,62.24,62.26,1454013
2017-01-20,62.36,63.44,62.21,63.31,1275311
2017-01-23,63.34,63.34,61.37,63.09,1838303
2017-01-24,63.09,63.09,61.73,62.96,1529745
2017-01-25,62.91,64.68,62.91,64.48,1421221
2017-01-26,64.68,64.89,63.41,63.49,1807725
2017-01-27,63.64,64.04,63.18,63.8,812272
2017-01-30,63.86,63.86,62.52,62.75,889652
2017-01-31,62.75,63.3,62.36,63.27,1033401
2017-02-01,63.31,64.89,63.31,64.2,1866111
2017-02-02,64.07,64.11,63.27,64.01,936315
2017-02-03,64.23,65.0,64.1,64.72,1700712
2017-02-06,64.64,64.72,63.12,63.63,2075985
2017-02-07,66.42,68.88,66.0,67.0,4415653
2017-02-08,67.02,68.99,67.02,68.67,3300042
2017-02-09,68.41,69.61,68.36,69.34,1362388
2017-02-10,69.16,69.65,68.9,69.4,1432140
2017-02-13,69.54,70.5,69.49,69.93,1413169
2017-02-14,69.6,71.04,69.55,70.93,1693207
2017-02-15,70.56,71.89,70.56,71.45,1672834
2017-02-16,70.35,70.86,69.68,70.07,2621731
2017-02-17,69.57,69.6,66.88,67.61,3389678
2017-02-21,67.78,70.43,67.61,70.28,1608073
2017-02-22,70.25,70.61,69.75,70.24,1183154
2017-02-23,70.71,70.98,70.04,70.58,1076262
2017-02-24,70.22,70.62,69.68,70.61,1239260
2017-02-27,70.73,71.42,70.52,71.11,1479537
2017-02-28,70.4,70.88,70.05,70.5,1390387
2017-03-01,71.66,73.23,71.45,72.42,2184550
2017-03-02,72.14,72.3,71.07,71.24,1308823
2017-03-03,71.05,71.52,70.68,70.97,1768288
2017-03-06,70.44,71.28,69.84,70.97,1554948
2017-03-07,71.0,71.17,70.42,70.56,1147274
2017-03-08,70.56,71.16,70.22,70.24,1352351
2017-03-09,70.47,70.7,69.27,69.56,2131159
2017-03-10,69.49,70.22,68.14,68.43,2962866
2017-03-13,68.52,69.7,67.77,69.43,2331507
2017-03-14,68.75,69.08,67.42,67.5,2129821
2017-03-15,67.73,68.71,67.5,68.56,2441284
2017-03-16,68.68,68.93,68.03,68.6,1494993
2017-03-17,68.73,69.5,68.27,68.59,1722480
2017-03-20,68.42,68.46,67.33,67.72,1723862
2017-03-21,67.94,68.39,66.57,66.92,1584254
2017-03-22,67.14,68.36,66.39,68.01,1902421
2017-03-23,66.84,67.29,65.03,65.31,3757445
2017-03-24,65.3,69.47,65.3,68.73,4061530
2017-03-27,69.6,71.13,69.46,70.23,4513235
2017-03-28,69.86,70.96,69.58,70.83,2593517
2017-03-29,70.75,71.46,70.15,71.09,2411026
2017-03-30,70.92,72.33,70.76,72.15,1833924
2017-03-31,71.98,72.16,71.19,71.26,1503746
2017-04-03,71.31,72.29,71.31,71.67,1652499
2017-04-04,71.69,71.87,69.2,69.77,2923495
2017-04-05,70.34,71.83,70.2,70.74,1408289
2017-04-06,70.83,71.55,70.52,71.48,934078
2017-04-07,71.33,71.58,70.64,71.04,737309
2017-04-10,71.04,71.98,70.8,71.77,823297
2017-04-11,71.66,72.31,71.1,72.2,907133
2017-04-12,72.23,72.23,70.04,70.88,1286435
2017-04-13,70.84,71.0,70.19,70.56,772181
2017-04-17,70.58,71.03,70.39,71.03,1104269
2017-04-18,71.15,71.5,70.25,71.17,1099615
2017-04-19,71.4,72.0,71.12,71.7,881625
2017-04-20,71.74,72.47,70.78,71.73,1671949
2017-04-21,71.69,71.83,70.58,70.64,1783095
2017-04-24,71.56,72.6,70.94,71.99,2562699
2017-04-25,72.69,74.12,71.77,73.45,2118380
2017-04-26,73.9,75.43,71.3,72.8,3512017
2017-04-27,72.8,73.42,72.21,72.95,2826332
2017-04-28,72.84,74.55,72.77,74.4,1881067
2017-05-01,74.4,75.39,74.06,75.33,2130715
2017-05-02,75.84,77.19,75.13,76.99,2603692
2017-05-03,76.9,77.6,75.48,76.04,1660067
2017-05-04,75.77,76.5,74.53,75.87,2608762
2017-05-05,76.28,77.25,76.24,76.88,1290137
2017-05-08,76.99,77.59,75.75,75.79,1530965
2017-05-09,75.87,76.34,75.19,75.73,1479290
2017-05-10,75.57,77.58,75.41,77.36,2340136
2017-05-11,76.96,77.19,76.17,76.24,1056235
2017-05-12,76.35,76.78,75.45,75.67,1692326
2017-05-15,76.35,76.43,75.41,76.4,1509901
2017-05-16,76.77,76.98,76.12,76.44,1548058
2017-05-17,76.03,76.34,75.33,75.42,1000647
2017-05-18,75.01,76.17,74.54,75.62,2201379
2017-05-19,75.88,76.47,74.97,75.07,1518178
2017-05-22,73.58,74.36,72.81,74.02,2019454
2017-05-23,74.13,74.75,73.66,73.99,1377783
2017-05-24,74.24,75.1,73.89,74.75,1202841
2017-05-25,74.97,75.63,74.54,75.25,1823866
2017-05-26,75.31,75.46,74.32,74.57,920450
2017-05-30,74.57,74.69,73.33,73.46,1129477
2017-05-31,73.48,73.73,72.14,72.63,3054391
2017-06-01,72.69,75.76,72.67,75.25,2936313
2017-06-02,75.43,75.75,75.0,75.19,1421314
