date,open,high,low,close,volume
2017-01-03,105.33,105.36,103.76,104.72,1076325
2017-01-04,104.94,108.0,104.63,107.62,1236399
2017-01-05,106.81,107.75,105.36,107.5,1004005
2017-01-06,107.18,107.77,106.8,107.31,1317466
2017-01-09,107.11,107.39,105.84,106.06,1247623
2017-01-10,105.85,106.17,104.8,105.0,748854
2017-01-11,105.01,105.42,103.92,104.05,657000
2017-01-12,104.01,104.89,103.48,104.57,812737
2017-01-13,104.62,105.235,103.68,104.29,678021
2017-01-17,104.36,105.49,104.16,105.41,1073130
2017-01-18,105.43,106.62,104.93,106.2,824606
2017-01-19,105.9,106.49,105.19,105.21,900838
2017-01-20,105.31,105.81,104.81,105.79,944062
2017-01-23,105.73,107.42,105.59,107.2,591429
2017-01-24,107.48,108.235,106.92,107.69,628170
2017-01-25,107.87,108.15,107.0,107.67,696478
2017-01-26,107.1,107.65,106.99,107.3,767848
2017-01-27,107.66,107.68,106.06,106.88,617321
2017-01-30,106.88,107.64,106.3,106.87,685550
2017-01-31,106.7,107.8,106.165,106.31,814629
2017-02-01,106.45,107.03,103.82,103.9,833913
2017-02-02,103.93,104.82,103.68,104.42,838475
2017-02-03,105.38,105.8,104.56,104.85,820505
2017-02-06,104.8,105.15,104.2,104.56,732243
2017-02-07,104.71,105.83,104.71,104.77,645385
2017-02-08,104.84,105.83,104.7,105.27,395436
2017-02-09,105.31,105.64,104.935,105.39,562370
2017-02-10,105.43,107.02,105.37,106.45,653754
2017-02-13,106.85,107.15,105.72,106.45,586311
2017-02-14,106.45,109.35,105.57,109.03,1369550
2017-02-15,108.92,109.28,108.17,109.04,881307
2017-02-16,108.87,110.11,108.48,109.98,909351
2017-02-17,109.94,110.17,108.54,109.79,764826
2017-02-21,109.8,111.08,109.3,110.85,748748
2017-02-22,111.09,111.72,108.72,109.84,656846
2017-02-23,109.98,110.44,109.47,109.95,599538
2017-02-24,109.99,110.43,109.44,110.13,739165
2017-02-27,110.36,111.12,109.8,110.67,956904
2017-02-28,110.48,110.54,109.19,109.87,900807
2017-03-01,109.84,110.13,109.03,109.27,1064594
2017-03-02,109.28,109.28,108.03,108.84,867191
2017-03-03,108.25,109.105,107.35,108.77,669303
2017-03-06,108.36,108.82,107.72,108.26,492801
2017-03-07,108.32,108.62,107.675,107.85,443743
2017-03-08,107.45,107.45,105.87,105.89,786711
2017-03-09,105.9,106.13,103.86,104.16,988886
2017-03-10,105.06,105.5,102.49,103.2,868075
2017-03-13,103.38,103.56,102.4,102.79,1155265
2017-03-14,102.8,103.29,101.94,102.45,901759
2017-03-15,102.69,105.35,102.69,104.77,870989
2017-03-16,104.76,105.38,104.16,104.3,625671
2017-03-17,104.55,105.89,104.19,105.13,1111899
2017-03-20,105.12,105.285,103.8,104.11,656791
2017-03-21,104.68,104.865,102.24,102.38,1244969
2017-03-22,102.62,102.62,100.73,101.46,1111563
2017-03-23,101.37,103.01,101.37,102.24,1658628
2017-03-24,102.4,102.98,100.74,100.92,905323
2017-03-27,100.76,101.25,99.6,100.24,1266962
2017-03-28,100.29,100.4,98.51,100.18,1161731
2017-03-29,99.96,100.33,99.41,99.7,983075
2017-03-30,99.39,100.43,98.91,100.37,873068
2017-03-31,100.31,101.04,99.745,100.31,945886
2017-04-03,100.35,101.45,100.01,100.89,1084821
2017-04-04,100.95,102.02,100.56,101.67,2245724
2017-04-05,101.72,102.33,100.52,100.81,1036836
2017-04-06,100.81,102.09,100.22,101.87,856113
2017-04-07,101.72,102.6,101.5,101.62,683033
2017-04-10,101.64,102.24,101.41,102.06,646024
2017-04-11,102.08,102.96,101.76,102.47,700701
2017-04-12,102.67,103.21,102.0,102.39,641092
2017-04-13,102.34,102.4299,101.13,101.28,537544
2017-04-17,101.66,103.07,101.53,103.06,765623
2017-04-18,102.57,103.35,102.27,102.97,616229
2017-04-19,102.91,103.21,101.85,102.19,840769
2017-04-20,102.35,102.35,100.97,101.57,1136867
2017-04-21,101.44,101.83,101.18,101.6,723053
2017-04-24,102.22,102.525,99.24,99.78,1067858
2017-04-25,100.03,100.81,99.54,100.56,1064677
2017-04-26,100.27,100.78,97.57,97.59,1283253
2017-04-27,97.7,98.375,96.235,96.51,1209341
2017-04-28,96.39,96.48,95.57,96.24,940453
2017-05-01,96.63,96.63,95.33,96.28,1431644
2017-05-02,96.55,96.55,93.09,96.31,1935967
2017-05-03,96.47,96.64,94.36,94.7,1131034
2017-05-04,93.67,95.08,93.1,95.01,1462401
2017-05-05,95.1,95.88,94.38,95.7,831135
2017-05-08,95.91,96.12,93.98,94.58,750027
2017-05-09,94.46,94.56,93.57,94.37,1065957
2017-05-10,94.19,95.54,93.975,94.88,736325
2017-05-11,94.37,94.5,93.14,94.0,1121017
2017-05-12,93.91,94.11,93.16,93.29,760810
2017-05-15,93.29,94.19,92.96,93.37,707200
2017-05-16,93.55,93.59,92.82,93.1,1179023
2017-05-17,92.55,93.57,92.29,92.5,1164181
2017-05-18,92.5,93.8,92.21,92.84,1786182
2017-05-19,92.87,94.34,92.24,94.06,1101259
2017-05-22,94.15,94.53,92.75,93.13,1582165
2017-05-23,93.3,93.55,92.94,93.18,1023714
2017-05-24,93.43,93.55,92.975,93.36,602422
2017-05-25,93.41,93.79,92.79,92.95,535804
2017-05-26,93.09,93.41,92.02,92.52,846026
2017-05-30,92.49,93.11,92.05,92.15,675463
2017-05-31,92.39,92.405,91.32,92.2,1156390
2017-06-01,91.93,92.98,91.86,92.8,929424
2017-06-02,93.17,93.4,92.38,92.87,1174175
2017-06-05,92.8,93.32,92.3,93.26,700517
2017-06-06,93.21,93.44,91.18,91.26,1089634
2017-06-07,91.45,92.09,91.2,92.0,1216816
2017-06-08,92.17,92.45,91.53,92.15,929759
2017-06-09,92.09,93.96,91.8,93.65,920289
2017-06-12,93.53,95.63,93.53,95.36,1140126
2017-06-13,95.01,95.77,93.775,94.88,825911
2017-06-14,95.35,95.53,93.78,94.07,834594
2017-06-15,93.59,94.86,93.45,94.5,573955
2017-06-16,94.74,94.74,92.98,93.88,1351559
2017-06-19,93.86,93.86,92.73,93.37,854874
2017-06-20,93.5,93.76,92.5,93.37,706976
2017-06-21,93.46,93.85,91.78,92.67,755897
2017-06-22,92.59,94.16,92.19,93.53,868379
2017-06-23,93.84,94.66,93.8,94.18,1114201
2017-06-26,94.5,95.21,93.88,94.75,701510
2017-06-27,94.5,95.03,93.86,93.86,743517
2017-06-28,94.21,94.4675,93.45,93.51,753635
2017-06-29,93.16,94.01,92.48,93.35,806319
2017-06-30,93.46,94.265,92.86,93.9,1172263
2017-07-03,94.5,96.08,94.14,95.83,624271
2017-07-05,95.74,95.77,94.03,94.1,916722
2017-07-06,93.82,94.01,92.06,92.38,1072839
2017-07-07,92.41,94.53,92.32,93.92,1522127
2017-07-10,94.97,95.35,92.94,93.51,1026235
2017-07-11,93.62,94.55,93.33,94.08,1031352
2017-07-12,94.55,96.04,94.55,95.23,774719
2017-07-13,95.41,96.26,95.04,95.55,568283
2017-07-14,95.89,96.79,95.72,95.9,984387
2017-07-17,96.02,97.25,95.36,97.03,1141568
2017-07-18,78.45,79.33,77.26,77.59,2481679
2017-07-19,77.53,80.59,77.5,80.56,2427848
2017-07-20,80.55,80.63,78.93,79.2,2259486
2017-07-21,79.15,79.4,78.25,78.69,1078221
2017-07-24,78.65,79.12,78.07,78.11,1216847
2017-07-25,78.47,78.58,77.81,78.11,847617
2017-07-26,78.02,78.37,77.74,78.06,485098
2017-07-27,77.89,79.01,77.25,78.99,962284
2017-07-28,79.05,79.06,78.36,78.96,898520
2017-07-31,79.01,79.66,78.3,79.35,1168195
2017-08-01,79.8,80.92,78.51,79.51,1719759
2017-08-02,79.13,80.25,78.68,78.76,1231598
2017-08-03,78.07,79.32,77.9,79.15,767428
2017-08-04,79.23,79.83,78.92,79.47,569376
2017-08-07,79.43,79.4626,78.85,79.25,1478393
2017-08-08,79.08,79.4,78.17,78.5,1117562
2017-08-09,78.5,78.5,77.79,77.88,572116
2017-08-10,77.66,77.75,76.57,76.64,750430
2017-08-11,76.55,76.8599,75.55,75.73,863171
2017-08-14,76.18,77.5,76.14,76.93,919758
2017-08-15,76.79,76.79,75.45,76.25,970206
2017-08-16,76.42,76.83,75.72,75.9,908216
2017-08-17,75.7,76.12,75.23,75.3,1116169
2017-08-18,75.04,75.32,73.48,73.91,1098317
2017-08-21,73.96,74.22,73.19,73.88,1029775
2017-08-22,74.06,74.25,73.02,73.38,1019110
2017-08-23,73.26,74.59,73.2,74.06,900267
2017-08-24,74.72,75.2299,73.98,74.0,1505145
2017-08-25,74.16,75.09,73.79,74.7,1263129
2017-08-28,75.51,75.51,73.9,74.45,1200169
2017-08-29,74.36,74.5,73.675,74.16,649891
2017-08-30,73.53,74.5,73.17,74.26,1008888
2017-08-31,74.53,74.86,74.13,74.49,1249921
2017-09-01,74.52,75.2,74.21,74.99,616486
2017-09-05,75.19,75.43,73.84,74.35,659137
2017-09-06,74.68,75.115,74.28,74.37,1054861
2017-09-07,74.54,74.83,73.24,73.52,1176550
2017-09-08,73.37,74.47,73.37,73.9,1286575
2017-09-11,74.31,75.04,73.88,74.91,711553
2017-09-12,74.91,75.16,74.0,74.3,645834
2017-09-13,74.2,74.67,73.94,74.52,1308689
2017-09-14,74.48,75.66,74.31,75.18,1434956
2017-09-15,75.23,75.54,74.71,75.11,1704004
2017-09-18,75.07,75.36,74.46,74.56,1347897
2017-09-19,74.53,74.59,73.33,73.37,1382736
2017-09-20,73.37,73.855,72.77,73.83,1025271
2017-09-21,73.91,75.81,73.89,75.63,1270738
2017-09-22,75.64,76.09,75.26,75.66,2078848
2017-09-25,75.66,76.36,75.43,76.11,868962
2017-09-26,76.1,77.15,75.8,76.96,1570768
2017-09-27,76.8,77.02,76.45,76.85,1644685
2017-09-28,76.83,77.57,76.67,77.3,1266907
2017-09-29,77.2,77.49,76.32,76.88,1400437
2017-10-02,77.0,77.36,76.58,77.01,849606
2017-10-03,77.05,77.33,76.72,77.29,777232
2017-10-04,77.32,77.67,77.03,77.66,611026
